variations,price,rating_star,comment
['200ml'],[25200000000],5,"Lần thứ 2 mua của shop rồi ạ, đóng gói cẩn thận, dùng sản phẩm này nhẹ nhàng, ko kích ứng trên da của mình... "
['400ml'],[36900000000],5,"Giao hàng nhanh 
Vận chuyển hàng bị móp méo rất thật vọng
Shipper khó tính và nạt khách hàng dữ dội 
Chất gel lỏng hơn so với lần trước  mẫu mã cũng khác hơn trước
Shop nhiệt tình rep ib nhanh và thân thiện 
🥰🥰🥰 khuyến khích 5 sao vì sự nhiệt tình đó còn bên vận chuyển thì thất vọng vô cùng 🤦"
['200ml'],[25900000000],5,"The weight W, or gravitational force, is then just the mass of an object times the gravitational acceleration. Since the gravitational constant (g) depends on the square of the distance from the center of the earth, the weight of an object decreases with altitude."
['400ml'],[37500000000],5,"Sp tốt “ĐẠI PHÚ HÀO” TRƯƠNG HÂN NGHIÊU ĐƯỢC FENDI ĐĂNG ẢNH LÊN WEIBO 💯

Ủa anh, sao anh giàu anh bận một cây đồ Fendi mà anh hông được làm chủ gia đình vậy ạ 😢"
['400ml'],[36900000000],5,"Sau 10 ngày sd mình thấy khá oke, da mình là da dầu mụn. K hương liệu nên sp có mùi là lạ, hơi khó ngửi 1 chút, nhưng dần r cũng quen. Dùng hết sẽ mua lại ạ🥰"
['400ml'],[39000000000],5,"Màu lọ 400ml hơi khác so với lọ nhỏ mình đang dùng, không biết do vận chuyển hay gì nhưng sản phẩm lại có bọt trắng trong khi lọ nhỏ mình cũng cầm đi cầm về suốt nhưng chưa bao giờ thấy nổi bọt lên như vậy. Hi vọng là hàng chuẩn ạ"
['200ml'],[25900000000],5,"Đã nhận được hàng, hình ảnh chỉ mang tính chất minh họ. Lọ tonner hơi khác so với lọ mình đang dùng, kbiet có sao không."
['400ml'],[34000000000],5,đóng gói sản phẩm rất chắc chắn. không biết chất lượng như nào nhưng mà rất ưng ạ. tặng shop 5 sao 👍
['200ml'],[25900000000],5,"Mình dùng kem chống nắng rất thích, mướt nhưng đến chiều thì lại thấy có ghét ra. Nhưng không sao cả😊😊😊😊😊😊😊😊😊😊😊"
['400ml'],[37500000000],5,"Đã mua size nhỏ 200ml dùng rất thích nên mua tiếp chai 400ml. Shop đóng gói cẩn thận, giao hàng nhanh"
['400ml'],[37500000000],5,"Shop giao hàng nhanh, tư vấn nhiệt tình, mình đã mua nhiều sp tại shop và sẽ ủng hộ thêm"
['400ml'],[37500000000],5,"Mình mua nhiều lần bên shop rùi, thấy dùng ok chỉ canh sale để đặt thêm 🤩🤩🤩🤩🥰🥰🥰🥰🥰🥰🥰"
['400ml'],[39000000000],5,"Sản phẩm phù hợp với da đâu mụn, sạch sâu mà ko bị khô da, sử dụng xong da rất mềm"
['400ml'],[39500000000],5,"Chất lượng sản phẩm tốt, giao hàng nhanh, sẽ ủng hộ shop tiếp tròn thời gian tới"
['200ml'],[25900000000],5,"Dùng là phê luôn ạ , thoáng , rửa xong mặt k bị khô mà ẩm mượt nha mọi người"
