itemid,shopid,name,variations,brand,shop_location,view_count,sold,rating_star,rating_count(1* - 5*),price
14857671,433229,Mặt Nạ Giấy Dưỡng Da BNBG,"['VITA GENIC (Vàng)', 'VITA GENIC (Xanh lá)', 'VITA GENIC (X.Dương)', 'VITA GENIC (Đỏ)', 'VITA TEA TREE']",BNBG,TP. Hồ Chí Minh,32033,2765,4.988801791713326,"[2, 2, 9, 48]","[1600000000, 2200000000]"
7639535567,182330622,"Mặt nạ Mediheal Teatree, Vita Lightbeam, Placenta Revital và Collagen EX Essential Mask 24ml","['Tea Tree Giảm Mụn', 'Vita Lightbeam Trắng', 'Collagen ChốngLãoHóa', 'Placenta Phục Hồi Da', 'N.M.F Aquaring CấpẨm', 'N.M.F Aquaring 2step', 'W.H.P Black Mask', 'N.M.F Aquaring 3step', 'N.M.F Anti-dust Calm']",Mediheal,Hà Nội,27237,2284,4.995405819295559,"[0, 0, 1, 7]","[1650000000, 2300000000]"
4724999130,778222,🔥GIÁ HỦY DIỆT🔥CAM KẾT CHÍNH HÃNG Bông tẩy trang Silcot 82 miếng 1 hộp,['Chính hãng Unicharm'],Silcot,Hà Nội,26386,1234,4.999183006535947,"[0, 0, 0, 1]","[2839000000, 2839000000]"
3549723109,182330622,[GIFT] Mặt Nạ 3D Foodaholic Hàn Quốc,[''],3D Food a Holic,Hà Nội,18099,889,4.99333121625913,"[2, 0, 4, 9]","[900000000, 900000000]"
259817742,357604,Mặt nạ Chando Himalaya,"['Tử thảo', 'Tuyết sâm', 'Long đởm thảo', 'Tuyết trà', 'Tuyết liên hoa', 'Bách hợp']",Chando,Hà Nội,7233,579,4.989660265878878,"[2, 1, 2, 20]","[1800000000, 1800000000]"
1513812501,979943,Mặt Nạ viên thuốc BNBG Vita Genic Jelly Mask,"['vàng', 'xanh dương', 'xanh lá', 'đỏ', 'teatree']",,TP. Hồ Chí Minh,13534,1482,4.9878913171884225,"[0, 0, 8, 25]","[1700000000, 2300000000]"
7155622944,41143878,Set 10 mặt nạ dưỡng da Ju:Cy Hàn Quốc,"['10 mask CamCara', '10 mask Detox', '5 Cam + 5 Detox']",,Hà Nội,8532,154,4.995661605206074,"[0, 0, 0, 6]","[18000000000, 18000000000]"
7039060868,71538678,Dermarium - Tricky Duet- Toner BHA dành cho da mụn,[''],No Brand,Hà Nội,14823,314,4.994814814814815,"[0, 0, 0, 7]","[19000000000, 19000000000]"
1149783389,53244992,[Đại Lý Chính Thức] Bông Tẩy Trang Ipek 150 Miếng,['150'],No Brand,TP. Hồ Chí Minh,5592,252,4.986938969365946,"[2, 3, 7, 27]","[2800000000, 2800000000]"
241277962,5674886,Mặt nạ DR.MORITA Đài Loan miếng lẻ,"['Xanh đậm Hạn T9.21', '2.Màu hồng', '3.Màu xanh nhạt', '6.Màuvàng HSD T12.20', '7.Màu xanh dương', '4.Màu cam']",Dr.Morita,Hà Nội,2663,152,4.994996426018584,"[1, 0, 0, 3]","[2200000000, 2200000000]"
5039672066,182330622,[Mẫu Mới] Bông Tẩy Trang Ipek Thổ Nhĩ Kỳ,"['130 miếng', '150 miếng']",ipek,Hà Nội,5806,183,4.993116395494368,"[1, 0, 1, 5]","[3100000000, 3100000000]"
323750133,5674886,Mặt Nạ Giấy NARUKO Bản Đài Loan 1 Miếng Lẻ - 1989Store Phân Phối Chính Hãng,"['Miếng Tràm Trà', 'Miếng Ý dĩ (Đỏ)', 'Miếng Ý Dĩ (Trắng)', 'Miếng Hoa hồng', 'Miếng Hoa Mộc Lan', 'Miếng Hoa Thủy Tiên']",NARUKO,Hà Nội,12733,1962,4.981198295312108,"[12, 7, 30, 96]","[2200000000, 2400000000]"
7470772537,182330622,Sữa Rửa Mặt Cosrx 🎁 Corsx 🎁 Srm Cosrx Dạng Gel Low pH Good Morning Gel Cleanser 150ml,[''],COSRX,Hà Nội,51797,899,4.990658800393314,"[1, 0, 2, 11]","[17900000000, 17900000000]"
7635298569,56982795,[Mã SKAMSALE06 giảm 10% tối đa 100K đơn 150K] TINH CHẤT ĐÁNH BAY CÁC LOẠI MỤN VÀ THÂM WHITENING BYUNH,['Serum nâu Byunh'],,TP. Hồ Chí Minh,20597,865,4.986238532110092,"[6, 0, 4, 16]","[30900000000, 30900000000]"
4449392806,182330622,Bộ 3 hộp Bông trang điểm (bông tẩy trang) Silcot,"['3 hộp xanh dương', '3 hộp xanh lá']",Silcot,Hà Nội,10847,340,4.993023255813953,"[0, 0, 1, 7]","[10100000000, 10100000000]"
803586,360913,Sữa rửa mặt Aderma Phys-AC dầu mụn nhạy cảm,"['200ml', '400ml', '100ml']",No Brand,Hà Nội,11385,256,4.984902309058614,"[1, 0, 6, 35]","[28000000000, 38000000000]"
1627409669,59469481,Mặt nạ JM Solution Dưỡng Trắng Căng Bóng Da,"['GẠO', 'HOA HỒNG', 'SERUM HỒNG', 'KÉN TRẮNG', 'SÁP ONG', 'SOS Hyaluronic', 'NGỌC TRAI 3 BƯỚC', 'BƠ', 'SOS BÌNH VÀNG', 'GOLDEN CAVIAR', 'PINK SNAIL', 'JELLYFISH VITAL', 'Ngọc Trai 2 Bước', 'Ngọc Trai Đen 2 Bước', 'SOS Bình Xanh', 'Tổ Yến', 'Ngọc Trai Đen 3 Bước', 'Centella Repair', 'Ceramide Aqua']",JMSolution,TP. Hồ Chí Minh,5671,1133,4.993655828707375,"[0, 0, 1, 6]","[1790000000, 1790000000]"
240301902,5674886,BẢN ĐÀI-Mặt nạ My Beauty Diary Đài Loan miếng lẻ,"['Trai Đen', 'Trai Trắng', 'Yến Đỏ', 'Natto', 'Rượu Vang', 'Xương Rồng', 'Hoa Hồng', 'Lô Hội/ Nha Đam', 'Hyaluronic Acid', 'Squalene', 'Đá Băng', 'Sakura', 'Mexico Anastatica', 'Antarctica Glyco', 'Alps HSD T10/2021', 'Arbutin', 'Táo Đỏ', 'EX+ XANH', 'EX+ TÍM']",My Beauty Diary,Hà Nội,4861,770,4.979449021171051,"[28, 5, 17, 75]","[2800000000, 3400000000]"
5204152983,433229,Mặt nạ giấy Naruko Mask,"['#Tea tree (xanh lá)', ""#Raw Job's Tear (đỏ)"", '#Narcissus (tím)', '#Rose Botanic (hồng)', '#Taiwan (trắng)', ""#RawJob'sTear(trắng)""]",NARUKO,TP. Hồ Chí Minh,5621,712,4.9918367346938775,"[0, 1, 2, 5]","[2200000000, 2400000000]"
1933735040,102075609,Kem kha tử handmade.,"['Đêm', 'Ngày', 'Mắt']",No Brand,Hà Nội,1598,269,4.991563919532771,"[1, 0, 1, 7]","[19500000000, 20500000000]"
5239693566,182330622,Nước hoa hồng lotion toner diếp cá hỗ trợ giảm mụn Dokudami Nhật Bản 500ml,[''],No Brand,Hà Nội,3806,72,4.998768472906404,"[0, 0, 0, 1]","[16500000000, 16500000000]"
4961010779,184695342,Mặt nạ vitamin C cấp ẩm dưỡng trắng da chiết suất cam vàng mask nội địa trung bioaqua,[''],No Brand,Hà Nội,13498,2896,4.989106753812636,"[1, 0, 2, 12]","[480000000, 480000000]"
1514344454,979943,[GIÁ HỦY DIỆT] Nước hoa hồng Dear Klairs Supple Preparation toner 180ml,"['Không mùi', 'Có mùi']","Dear, Klairs",TP. Hồ Chí Minh,102628,2273,4.978645959718515,"[6, 3, 31, 169]","[23900000000, 23900000000]"
4121497804,157995825,Mặt Nạ Dưỡng Da Chiết Xuất Từ Thiên Nhiên Naruko Mask 26ml,"['Tràm Trà', 'Hoa Thủy Tiên', 'Hoa Hồng Nhung', 'Ý Dĩ', 'Bạch Ngọc Lan', 'Ý Dĩ Nhân Đỏ']",NARUKO,TP. Hồ Chí Minh,13021,1335,4.988966318234611,"[1, 0, 2, 11]","[2100000000, 2350000000]"
9702690461,210104545,"Serum Trắng Da, Mờ Thâm Balance Active Formula Vitamin C Brightening 30ml",[''],BALANCE,TP. Hồ Chí Minh,44158,821,4.98798328108673,"[0, 0, 2, 19]","[14900000000, 14900000000]"
228651982,433229,Mặt nạ Su:m 37 Award Bubble-De,"['1 gói trắng', '5 gói trắng', '1 gói đen', '5 gói đen']",No Brand,TP. Hồ Chí Minh,6154,696,4.9803334201615,"[6, 2, 21, 79]","[1500000000, 1500000000]"
7508371519,41143878,Kem chống nắng Ju:Cy My Daily Sun Lotion,[''],Ju:cy,Hà Nội,10511,359,4.9851796961837715,"[0, 2, 3, 28]","[22500000000, 22500000000]"
88456761,10133473,"My Beauty Diary (Đài) - Bản phổ thông đầy đủ các loại mặt nạ: Trai đen, Tổ Yến, Natto, lô hội, mbd","['MBDM04_Trai đen', 'MBDM04_Đậu Natto', 'MBDM04_Tổ yến', 'MBDM04_Hoa hồng', 'MBDM04_Xương rồng', 'MBDM04_Trai trắng', 'MBDM04_Squalene', 'MBDM04_HA', 'MBDM04_Rượu vang ', 'MBDM04_Lô hội\t', 'MBDM04_Collagen']",No Brand,Hà Nội,9153,293,4.986924686192468,"[1, 0, 3, 15]","[2500000000, 2500000000]"
49195285,979943,Mặt nạ sủi bọt SU:M37 BRIGHT AWARD BUBBLE-DE MASK,"['1 miếng trắng', '1 miếng đen']",Mọi loại da,TP. Hồ Chí Minh,1315,102,4.982114779874214,"[9, 0, 9, 37]","[900000000, 1800000000]"
323769414,5674886,Mặt Nạ NARUKO Tràm Trà Cho Da Mụn Bản Đài Loan Hộp 8 Miếng - 1989Store Phân Phối Chính Hãng,[''],NARUKO,Hà Nội,36784,1310,4.9781323877068555,"[18, 6, 26, 191]","[18900000000, 18900000000]"
1772068525,16342099,MẶT NẠ NARUKO HỘP NGUYÊN CÁC LOẠI,"['TRÀM TRÀ', 'Ý DĨ', 'BẠCH NGỌC LAN', 'Ý DĨ MỚI']",NARUKO,TP. Hồ Chí Minh,18715,529,4.980968441339436,"[2, 0, 9, 53]","[18500000000, 19900000000]"
1863946406,115570407,[Mã SKAMSALE06 giảm 10% tối đa 100K đơn 150K] Lotion ngừa mụn Meishoku Bigansui Nhật Bản 90ml,"['Phiên bản cho Nữ', 'Phiên bản cho Nam']",,Hà Nội,8436,216,4.984781738085703,"[2, 0, 3, 24]","[16500000000, 18500000000]"
727438238,28321649,Combo 10 Gói Tinh Chất phục hồi hoàn hảo OHUI Miracle Moisture Ampoule 777,[''],,TP. Hồ Chí Minh,2880,100,4.997624703087886,"[0, 0, 0, 2]","[4200000000, 4200000000]"
749642525,251158,OLAY UK phân phối (Made in Poland) Kem dưỡng da chống 7 dấu hiệu lão hoá Olay total Effect hàng UK Anh Quốc,"['SPF 15 37ml', 'Kem đêm 37ml', 'CặpNĐ 37mlmópvỏdoVC', 'Đêm 50ml vỏ nhăn nhẹ', 'Spf15 50mL', 'Cặp ngày-đêm 50ml', 'Kem ngày SPF30 50mL', 'Đêm15ml', 'Kem ngày spf15 15ml']",OLAY,Hà Nội,5151,92,4.987707881417209,"[2, 0, 0, 9]","[23900000000, 35000000000]"
6249405139,182330622,Bông tẩy trang Silcot,"['Xanh lá - 66 miếng', 'Xanh dương - 82 mếng']",Silcot,Hà Nội,2055,63,4.99866844207723,"[0, 0, 0, 1]","[3800000000, 3900000000]"
4320363465,184695342,Mặt nạ dưỡng mắt collagen images NM1,"['màu vàng', 'màu xanh', 'màu trắng', 'màu nâu', 'nâu collagen', 'mix đủ màu']",No Brand,Hà Nội,10932,3662,4.986177311725453,"[1, 3, 2, 12]","[220000000, 220000000]"
6805904319,51114105,Lẻ 1 miếng mặt nạ đá băng Hydra Smoothing Skin Ice Membrane Images,[''],No Brand,TP. Hồ Chí Minh,5786,880,4.988749172733289,"[1, 0, 2, 9]","[290000000, 290000000]"
5131918967,184695342,Mặt nạ cấp ẩm dưỡng da kiểm soát dầu mịn da H2O images,[''],No Brand,Hà Nội,4204,653,4.9957401490947815,"[0, 0, 1, 2]","[350000000, 350000000]"
1277653463,433229,Nước hoa hồng Some By Mi AHA-BHA-PHA 30 Days Miracle Toner Some By Mi AHA,"['Full 150ml', 'Đổ 1 ít']",Some By Mi,TP. Hồ Chí Minh,19316,555,4.97979274611399,"[5, 3, 10, 68]","[20900000000, 20900000000]"
513120096,979943,Mặt nạ Mediheal Mask Pack mẫu mới,"['tea tree', 'Placenta', 'Collagen', 'vita']",No Brand,TP. Hồ Chí Minh,4937,386,4.980645161290322,"[2, 1, 9, 49]","[1700000000, 1700000000]"
262940469,357604,"Mặt nạ Naruko (ý dĩ, hoa thủy tiên, hoa hồng, ngọc lan) (bản Trung/bản Đài)","['Ý dĩ bản Trung', 'Hoa thuỷ tiên Trung', 'Hoa hồng bản Trung', 'Hoa ngọc lan Trung', 'Ý dĩ bản Đài', 'Hoa ngọc lan Đài', 'Hoa hồng Đài', 'Thuỷ tiên Đài']",NARUKO,Hà Nội,2543,119,4.98592916060165,"[2, 0, 1, 19]","[1400000000, 1950000000]"
1836173006,28321649,Combo 10 Gói Tẩy Da Chết OHUI Clear Science Soft Peeling,[''],,TP. Hồ Chí Minh,1665,70,4.987829614604462,"[1, 2, 3, 8]","[3300000000, 3300000000]"
7312320189,28321649,"Gói Kem mắt mờ thâm ,chống nhăn, trẻ hóa làn da vùng mắt su:m37 Fleur eye cream 1ml","['1 gói', '5 gói']",,TP. Hồ Chí Minh,6453,1030,4.991035044824776,"[1, 1, 1, 2]","[680000000, 680000000]"
